Bánh bông lan cuốn;155;34.44g
Bánh bông lan kem;260;57.78g
Bánh chuối nướng;293;65.11g
Chuối bọc nếp nướng;351;78g
Bánh đậu xanh nướng;405;90g
Bánh khoai mì nướng;392;87.11g
Bánh Hotdog nhân phô mai;133;29.56g
Bánh Hotdog nhân xúc xích;170;37.78g
Bánh dẻo trung thu;807;179.33g
Bánh nướng trung thu;1095;243.33g
Bánh Quế;35;7.78g
Bánh quế nhân kem;87;19.33g
Kẹo chocolate;19;4.22g
Viên nhỏ;102;22.67g
Kẹo dẻo;9;2g
Kẹo dừa;31;6.89g
Kẹo đậu phộng;117;26g
Kẹo mè xửng;122;27.11g
Kẹo sữa;13;2.89g
Kẹo trái cây;13;2.89g
Bắp giã;328;108g
Xôi bắp;313;108g
Xôi gấc;589;108g
Xôi lá cẩm;577;108g
Xôi đậu đen;550;108g
Xôi đậu phộng;659;108g
Xôi đậu xanh;532;108g
Xôi khúc;395;87.78g
Xôi mặn;499;108g
Xôi nếp than;515;108g
Xôi vị;459;102g
Xôi vò;509;108g
Chè bắp;352;78.22g
Chè đậu xanh đánh;359;79.78g
Chè chuối chưng;332;73.78g
Chè thưng;329;73.11g
Chè nếp đậu trắng;436;96.89g
Chè nếp khoai môn;385;85.56g
Chè táo xọn;311;69.11g
Chè trôi nước;513;114g
Chè mè đen;338;75.11g
Đậu hủ nước đường;241;53.56g
Bánh lọt;505;112.22g
Chè đậu xanh phổ tai;423;94g
Chè đậu đen;419;93.11g
Chè đậu trắng;413;91.78g
Sâm bổ lượng;268;59.56g
Chè thạch nhãn;199;44.22g
Trứng vịt;90;20g
Trứng vịt lộn;98;21.78g
Trứng gà công nghiệp;81;18g
Trứng gà ta;58;12.89g
Trứng vịt bách thảo;94;20.89g
Trứng vịt muối;90;20g
Trứng cút;17;3.78g
Trứng ngỗng;210;46.67g
Sữa bột nguyên kem;81;18g
Sữa bột tách bơ;35;7.78g
Sữa bột đậu nành;67;14.89g
